brand,carName,carImg,saleVolume,min_price,max_price,manufacturer,rank,carModel,energyType,marketTime,over_score,appearance_score,interior_score,configure_score,spatial_score,comfort_score,manipulating_score,motivation_score,comprehensive_evaluation
福特,撼路者,https://p3-dcd.byteimg.com/img/motor-mis-img/b4919cc5ceb667da3f85cb603bde169d~tplv-resize:640:0.png,83,26.78,36.68,江铃福特,505,中型SUV,汽油,2020.07,3.80,3.93,3.41,3.60,4.02,3.67,3.84,4.11,"['动力十足（20）', '越野性能强悍（10）', '整体空间出色（8）', '内饰质感不错（4）', '静谧性强（4）', '动力响应灵敏（4）', '驾驶体验良好（4）', '油耗低（3）', '外观大气（3）', '操控出色（3）', '底盘调校好（3）', '油耗一般（5）', '油耗高（4）', '有异响（4）', '内饰材质较差（3）', '内饰设计一般（2）', '车机功能简单（2）', '配置低（2）', '离地间隙较差（1）', '风噪大（1）', '乘坐感受比较差（1）', '变速箱换挡顿挫（1）', '车机设计传统（1）', '整体配置一般（1）']"
红旗,红旗E-HS9,https://p3-dcd.byteimg.com/img/motor-mis-img/fb5c6d20cd6044b28f6eec55dcd6c61c~tplv-resize:640:0.png,79,50.98,77.98,一汽红旗,508,大型SUV,纯电动,2022.06,4.09,4.58,4.19,4.03,3.98,3.96,3.86,4.02,"['动力十足（30）', '整体空间出色（25）', '外观大气（24）', '内饰质感不错（19）', '内饰豪华（16）', '车机科技感强（14）', '配置丰富（12）', '外观拉风（10）', '乘坐感受还可以（9）', '操控出色（8）', '动力输出平顺（7）', '灯组造型独特（6）', '续航表现较差（5）', '有异响（2）', '车机卡顿严重（2）', '车机操作复杂（2）', '操控感较差（2）', '内饰设计一般（1）', '充电时间较长（1）', '储物空间较少（1）', '空间灵活性较差（1）', '隔音差（1）', '风噪大（1）', '悬挂表现不理想（1）']"
雪佛兰,创酷,https://p3-dcd.byteimg.com/img/motor-mis-img/7f32d8c6bf3899a4d61b5059c5717c70~tplv-resize:640:0.png,70,9.59,11.49,上汽通用雪佛兰,509,小型SUV,汽油,2023.07,3.62,3.95,3.53,3.54,3.54,3.44,3.59,3.76,"['动力十足（46）', '整体空间出色（16）', '操控出色（16）', '外观耐看（13）', '油耗低（12）', '外观时尚（12）', '外观拉风（12）', '储物空间合理（11）', '配置丰富（11）', '配置实用（10）', '后备厢空间大（9）', '空间中规中矩（14）', '隔音差（11）', '动力不足（9）', '内饰材质较差（8）', '新车异味较大（7）', '后排空间小（6）', '空间局促（6）', '悬挂表现不理想（6）', '后备厢空间小（5）', '悬架跳动明显（5）', '内饰设计一般（4）', '有异响（4）', '内饰用料普通（3）']"
奔腾,奔腾B70S,https://p3-dcd.byteimg.com/img/motor-mis-img/6c5efbe832eebd5cac8292af76a42d83~tplv-resize:640:0.png,61,10.99,14.29,一汽奔腾,511,紧凑型SUV,汽油,2022.11,3.77,4.16,3.61,3.68,3.66,3.68,3.84,3.79,"['动力十足（9）', '乘坐感受还可以（6）', '悬架支撑性强（5）', '底盘调校好（4）', '内饰好看（3）', '动力输出平顺（3）', '驾驶体验良好（3）', '内饰质感不错（2）', '后备厢空间大（2）', '后排空间大（2）', '前排乘坐舒适（2）', '尾部好看（2）', '车机科技感强（2）', '辅助驾驶功能多（2）', '配置丰富（2）', '操控出色（2）', '内饰豪华（1）', '整体空间出色（1）', '空间中规中矩（2）', '静谧性一般（1）', '内饰一般（1）', '后排空间小（2）', '后备厢空间小（1）', '动力响应不灵敏（1）']"
长安,长安CS85 COUPE,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e52af4fd90934dfc8cfc82375a9c3a4f~tplv-resize:640:0.png,60,11.49,15.99,长安汽车,512,中型SUV,汽油,2022.09,3.65,3.87,3.80,3.60,3.51,3.53,3.53,3.72,"['动力十足（36）', '配置丰富（19）', '外观拉风（13）', '整体空间出色（12）', '变速箱换挡顺畅（12）', '外观大气（11）', '内饰质感不错（10）', '乘坐感受还可以（10）', '外观耐看（10）', '动力响应灵敏（10）', '内饰豪华（6）', '外观时尚（6）', '油耗高（9）', '后排空间小（8）', '动力不足（8）', '空间局促（5）', '胎噪大（5）', '新车异味较大（4）', '内饰材质较差（3）', '变速箱换挡顿挫（3）', '有异响（3）', '车机卡顿严重（3）', '动力响应不灵敏（3）', '操控感较差（3）']"
福特,领界,https://p3-dcd.byteimg.com/img/motor-mis-img/0fe20c206f939c5f163ea779cb222287~tplv-resize:640:0.png,59,7.98,13.48,江铃福特,513,紧凑型SUV,汽油,2022.03,3.57,3.78,3.53,3.58,3.85,3.44,3.43,3.39,"['整体空间出色（41）', '动力十足（19）', '配置丰富（18）', '变速箱换挡顺畅（12）', '油耗低（11）', '外观大气（11）', '动力输出平顺（11）', '后排空间大（10）', '外观时尚（10）', '内饰质感不错（8）', '外观耐看（7）', '动力中规中矩（18）', '动力不足（10）', '隔音差（6）', '新车异味较大（6）', '悬架跳动明显（5）', '悬挂表现不理想（5）', '动力响应不灵敏（5）', '变速箱换挡顿挫（4）', '胎噪大（3）', '油耗高（3）', '有异响（3）', '动力响应迟滞（3）', '操控感较差（3）']"
凯翼,轩度,https://p3-dcd.byteimg.com/img/motor-mis-img/fad7c3cbf79e7f38ea95446b78b262c3~tplv-resize:640:0.png,56,7.98,9.39,凯翼汽车,514,紧凑型车,汽油,2023.06,3.46,3.51,3.48,3.42,3.55,3.40,3.40,3.44,"['动力十足（11）', '整体空间出色（10）', '动力响应灵敏（6）', '底盘调校好（6）', '乘坐感受还可以（5）', '油耗低（4）', '后备厢空间大（3）', '后排空间大（3）', '配置丰富（3）', '驾驶体验良好（3）', '后排舒服（2）', '空间中规中矩（2）', '胎噪大（6）', '油耗高（2）', '有异响（2）', '后排地台隆起（1）', '后排不舒服（1）', '空间局促（1）', '隔音差（1）', '风噪大（1）', '渗油（1）', '新车异味较大（1）', '音响品质较差（1）', '人机工程较差（1）']"
奥迪,奥迪A6L PHEV,https://p3-dcd.byteimg.com/img/motor-mis-img/e84a67d39282a0550546632e9e6cefb5~tplv-resize:640:0.png,56,50.8,50.8,一汽-大众奥迪,515,中大型车,插电式混合动力,2022.08,4.15,4.27,4.12,3.87,4.08,4.04,4.30,4.36,"['动力十足（22）', '油耗低（15）', '整体空间出色（7）', '配置实用（5）', '驾驶体验良好（5）', '操控出色（5）', '乘坐感受还可以（4）', '车机科技感强（4）', '动力响应灵敏（4）', '内饰好看（3）', '外观大气（3）', '续航满足通勤（3）', '配置低（10）', '后备厢空间小（8）', '续航表现较差（7）', '有异响（5）', '储物空间较少（3）', '整体配置一般（3）', '内饰设计一般（1）', '后排地台隆起（1）', '风噪大（1）', '悬架跳动明显（1）', '乘坐感受比较差（1）', '油耗高（1）']"
比亚迪,比亚迪D1,https://p9-dcd.byteimg.com/img/motor-mis-img/16a73f90c37db0a802139dd3bcb55a8b~tplv-resize:640:0.png,55,16.08,16.98,比亚迪,516,紧凑型MPV,纯电动,2023.06,3.60,3.73,3.51,3.36,3.98,3.66,3.59,3.39,"['整体空间出色（6）', '乘坐感受还可以（3）', '后排空间大（2）', '外观耐看（2）', '动力十足（2）', '充电时间较短（1）', '后排地台平整（1）', '续航表现优秀（1）', '内饰好看（1）', '尾部好看（1）', '配置丰富（1）', '动力响应灵敏（1）', '操控出色（1）', '悬挂表现一般（1）', '续航满足通勤（1）', '新车异味较大（2）', '内饰用料普通（1）', '隔音差（1）', '悬挂表现不理想（1）', '续航表现较差（1）', '人机工程较差（1）', '配置低（1）']"
沃尔沃,沃尔沃S60 RECHARGE,https://p3-dcd.byteimg.com/img/motor-mis-img/0e1a0647fc7451ffefef866f0bf05386~tplv-resize:640:0.png,55,33.39,38.29,沃尔沃亚太,517,中型车,插电式混合动力,2023.07,4.05,4.41,3.85,3.92,3.63,3.95,4.24,4.34,"['动力十足（42）', '操控出色（17）', '动力输出平顺（10）', '动力响应灵敏（9）', '驾驶体验良好（9）', '底盘调校好（8）', '配置丰富（7）', '乘坐感受还可以（6）', '油耗低（6）', '内饰好看（5）', '内饰质感不错（4）', '静谧性强（4）', '后排空间小（9）', '后排地台隆起（6）', '储物空间较少（3）', '空间局促（3）', '胎噪大（3）', '续航表现较差（3）', '悬挂表现不理想（2）', '车机卡顿严重（2）', '配置低（2）', '后备厢空间小（1）', '隔音差（1）', '发动机噪声偏大（1）']"
上汽大通MAXUS,大通D60,https://p3-dcd.byteimg.com/img/motor-mis-img/8ad8e32b0d69a70470645d077a560c27~tplv-resize:640:0.png,51,11.38,11.68,上汽大通,519,中型SUV,汽油,2023.05,3.68,4.10,3.59,3.80,3.90,3.57,3.47,3.33,"['整体空间出色（6）', '动力十足（3）', '储物空间合理（1）', '空间灵活性不错（1）', '变速箱换挡顺畅（1）', '外观大气（1）', '方向盘握感好（1）', '转向手感出色（1）', '操控出色（1）', '静谧性一般（1）', '音响品质一般（1）', '动力中规中矩（1）', '悬架跳动明显（2）', '后备厢空间小（1）', '悬挂表现不理想（1）', '变速箱换挡顿挫（1）', '油耗高（1）', '新车异味较大（1）', '有异响（1）', '发动机噪音明显（1）', '动力不足（1）']"
丰田,广汽丰田bZ4X,https://p3-dcd.byteimg.com/img/motor-mis-img/0534600885eae10c8086cc8cee5d19fb~tplv-resize:640:0.png,49,19.98,28.78,广汽丰田,520,中型SUV,纯电动,2022.1,3.87,3.95,3.55,3.80,3.98,3.95,3.95,3.92,"['驾驶体验良好（4）', '操控出色（4）', '内饰好看（3）', '动力十足（3）', '外观时尚（2）', '配置丰富（2）', '动力响应灵敏（2）', '后排地台平整（1）', '续航表现优秀（1）', '车机科技感强（1）', '人机工程不错（1）', '配置实用（1）', '动力输出平顺（1）', '转向手感出色（1）', '刹车表现好（1）', '底盘调校好（1）', '续航满足通勤（2）', '动力中规中矩（1）', '内饰风格较差（1）', '人机工程较差（1）', '配置鸡肋（1）', '配置低（1）', '动力响应不灵敏（1）', '动力不足（1）']"
起亚,焕驰,https://p9-dcd.byteimg.com/img/motor-mis-img/c655aa38e008e10259a76a207c62a295~tplv-resize:640:0.png,48,6.29,6.69,起亚,521,小型车,汽油,2020.08,3.16,3.49,3.11,3.02,3.25,3.06,3.16,3.06,"['油耗低（9）', '后备厢空间大（5）', '外观耐看（5）', '动力输出平顺（4）', '整体空间出色（3）', '外观大气（3）', '外观时尚（2）', '故障率低（2）', '动力十足（2）', '空间中规中矩（7）', '动力中规中矩（6）', '油耗一般（2）', '动力不足（7）', '空间局促（4）', '隔音差（4）', '配置低（4）', '后排空间小（3）', '整体配置一般（3）', '内饰材质较差（2）', '新车异味较大（2）', '有异响（2）', '内饰设计一般（1）', '胎噪大（1）', '悬架跳动明显（1）']"
