years,rank,logo,country,brand,sales
2016-02,74,https://i.img16888.com/carlogo75/126663.gif,日本,五十铃,28
2016-02,75,https://i.img16888.com/carlogo75/57598.gif,中国,黄海,20
2016-02,76,https://i.img16888.com/carlogo75/126283.gif,中国,北汽制造,9
2016-02,77,https://i.img16888.com/carlogo75/126113.gif,中国,欧朗,3
2016-03,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,267164
2016-03,2,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,111913
2016-03,3,https://i.img16888.com/carlogo75/57534.gif,美国,福特,110231
2016-03,4,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,103668
2016-03,5,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,98945
2016-03,6,https://i.img16888.com/carlogo75/57354.gif,美国,别克,97012
2016-03,7,https://i.img16888.com/carlogo75/57305.gif,日本,本田,92497
2016-03,8,https://i.img16888.com/carlogo75/57864.gif,日本,日产,85821
2016-03,9,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,72069
2016-03,10,https://i.img16888.com/carlogo75/57378.gif,中国,长安,69883
2016-03,11,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,68176
2016-03,12,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,50052
2016-03,13,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,49537
2016-03,14,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,49465
2016-03,15,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,45718
2016-03,16,https://i.img16888.com/carlogo75/57328.gif,中国,比亚迪,40000
2016-03,17,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,37573
2016-03,18,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,33953
2016-03,19,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,30813
2016-03,20,https://i.img16888.com/carlogo75/57563.gif,中国,广汽传祺,30053
2016-03,21,https://i.img16888.com/carlogo75/58085.gif,中国,众泰,28111
2016-03,22,https://i.img16888.com/carlogo75/57338.gif,法国,标致,28031
2016-03,23,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,27670
2016-03,24,https://i.img16888.com/carlogo75/57772.gif,日本,马自达,25178
